,beneficiario,cargo,cpf_cnpj,cpf_cnpj_orig,data,despesa,doador,doador_orig,especie_documento,num_documento,partido,sq,uf,valor
4162,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / FRANCITELMA G. DA SILVA  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4163,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / HILDA BARROSOS - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4164,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / JOSÉ ROBERTO ARAUJO CONCEIÇÃO - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,297
4165,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / LEONARDO RAMOS TAVARES - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4166,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARCIO RICARDO DOS SANTOS SILVA  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4167,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARIA APARECIDA DOS SANTOS - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4168,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARIA GLAUCIANE DOS SANTOS REINA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4169,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARIA GORETTI COSTA DOS SANTOS - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4170,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARIA NUBERLY BATISTA DA SILVA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4171,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARIA SUELY PAREO MENDES - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4172,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARIANE PORFIRIO DA SILVA  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4173,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MARILENE DA SILVA OLIVEIRA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4174,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MATHEUS VINCES TORRINHA BENTES  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4175,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MEIRIJANE FERNANDES COSTA  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,297
4176,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / MOISES LEAL CORREA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,200
4177,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / NAZILNILVA RAMOS COLARES  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4178,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / RUAN COUTINHO DA SILVA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4179,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / SENDER JACAUNA DE LIMA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,200
4188,ÁLVARO JOÃO CAMPELO DA MATA - DEPUTADO ESTADUAL - PP - AM / FB DA S MUNIZ- PRODUCOES - ME  - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,23/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PP,40000000101,AM,500
4189,ÁLVARO JOÃO CAMPELO DA MATA - DEPUTADO ESTADUAL - PP - AM / GERALDO ALBUQUERQUE DA MATA  - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,02/08/2014,Baixa de recursos estimáveis em dinheiro,,,,,PP,40000000101,AM,3000
4190,ÁLVARO JOÃO CAMPELO DA MATA - DEPUTADO ESTADUAL - PP - AM / PATRICK HIDEO SUGUIYAMA OKADA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PP,40000000101,AM,500
4255,EDSON BASTOS BESSA - DEPUTADO ESTADUAL - PMDB - AM / CARTEJANE ARAUJO MEDEIROS BESSA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,25/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PMDB,40000000124,AM,5000
4293,WAGNER FERREIRA SANTANA - DEPUTADO ESTADUAL - PT - AM / ILKA DOS SANTOS SIMOES - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PT,40000000149,AM,2500
4481,MAYSA COSTA DA SILVA - DEPUTADO FEDERAL - PR - AM / MAYSA COSTA DA SILVA - PR - AM - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PR,40000000348,AM,2500
4482,MAYSA COSTA DA SILVA - DEPUTADO FEDERAL - PR - AM / MAYSA COSTA DA SILVA - PR - AM - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,29/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PR,40000000348,AM,170
4483,MAYSA COSTA DA SILVA - DEPUTADO FEDERAL - PR - AM / MAYSA COSTA DA SILVA - PR - AM - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PR,40000000348,AM,2500
4650,ROBSON DA SILVA TEIXEIRA - DEPUTADO ESTADUAL - DEM - AM / ANDREZA PANTOJA DOS SANTOS - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,DEM,40000000427,AM,"950,4"
4651,ROBSON DA SILVA TEIXEIRA - DEPUTADO ESTADUAL - DEM - AM / COMSERVIÇO LTDA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,01/08/2014,Baixa de recursos estimáveis em dinheiro,,,,,DEM,40000000427,AM,"816,64"
4652,ROBSON DA SILVA TEIXEIRA - DEPUTADO ESTADUAL - DEM - AM / PAULO HENRIQUE DA SILVA LIMA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,DEM,40000000427,AM,3775
4653,ROBSON DA SILVA TEIXEIRA - DEPUTADO ESTADUAL - DEM - AM / UNIART'S SERVIÇOS DE IMPRESSÃO E PUBLICIDADE LTDA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,25/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,DEM,40000000427,AM,900
4662,DANIEL DA SILVA FALCÃO - DEPUTADO ESTADUAL - PEN - AM / D S DE SOUZA GRAFICOS ME - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,01/08/2014,Baixa de recursos estimáveis em dinheiro,,,,,PEN,40000000454,AM,1000
4663,ALDO EMANUEL DE OLIVEIRA LUCAS - DEPUTADO ESTADUAL - PEN - AM / D S DE SOUZA GRAFICOS ME - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PEN,40000000473,AM,1000
4664,ANTÔNIO CESAR DANTAS AMARAL - DEPUTADO ESTADUAL - PEN - AM / D S DESOUZA GRAFICOS ME - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PEN,40000000474,AM,1000
4665,HUDSON CABRAL DE MORAES - DEPUTADO ESTADUAL - PEN - AM / D S DE SOUZA GRAFICOS ME - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PEN,40000000476,AM,1000
4693,ANDRE LUIZ SIQUEIRA DE SOUZA CRUZ - DEPUTADO ESTADUAL - PSD - AM / DILMA COELHO - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,09/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000499,AM,"2173,5"
4694,ANDRE LUIZ SIQUEIRA DE SOUZA CRUZ - DEPUTADO ESTADUAL - PSD - AM / REBERTH DA SILVA COSTA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,09/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000499,AM,"2173,5"
4696,MARIO BASTOS DOS SANTOS - DEPUTADO ESTADUAL - PSD - AM / ADRIANA SANTOS DA SILVA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000501,AM,2500
4697,MARIO BASTOS DOS SANTOS - DEPUTADO ESTADUAL - PSD - AM / COMERCIAL NOSSA SENHORA DO PERPETUO SOCORRO LTDA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,31/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000501,AM,"1000,83"
4698,MARIO BASTOS DOS SANTOS - DEPUTADO ESTADUAL - PSD - AM / FRANCISCO BASTOS DOS SANTOS - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000501,AM,2500
4699,MARIO BASTOS DOS SANTOS - DEPUTADO ESTADUAL - PSD - AM / GILBERTO AQUILES DOS SANTOS MARQUES - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000501,AM,2500
4700,MARIO BASTOS DOS SANTOS - DEPUTADO ESTADUAL - PSD - AM / JESSICA FERNANDA FONSECA BARKER - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000501,AM,6000
4701,MARIO BASTOS DOS SANTOS - DEPUTADO ESTADUAL - PSD - AM / KASSIA FERNANDA OLIVEIRA DE SOUZA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000501,AM,2500
4702,MARIO BASTOS DOS SANTOS - DEPUTADO ESTADUAL - PSD - AM / LUIZ FELIPE DO NASCIMENTO PEREIRA JUNIOR - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,30/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSD,40000000501,AM,2500
4750,AFONSO LUIZ COSTA LINS JUNIOR - DEPUTADO ESTADUAL - PSDB - AM / ADMINISTRADORA DE BENS ALMEIDA & CIA LTDA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,28/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000526,AM,5000
4758,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / ALVARO BENTES CERDEIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4759,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / BENDELAC MACHADO TEIXEIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4760,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / CIBELE OLIVEIRA DE SOUZA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4761,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / FREDISON CARDOSO DA COSTA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4762,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / GRACINALDO GUIMARAES DA CUNHA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4763,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / INALDO DE SOUZA ALBUQUERQUE - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4764,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / IVANEZ DE OLIVEIRA BARROS - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4765,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / JEAN JORGE RIBEIRO RODRIGUES - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4766,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / LEUDA SILVA MORAES - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4767,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / OTAVIO JOSE SOARES DE OLIVEIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4768,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / RENE REIS BATISTA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4769,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / ROSA TEREZA PERES DE OLIVEIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4770,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / SIMONE FERREIRA DE SOUZA TEIXEIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4771,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / WILLIAN DA SILVA PEREIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4772,FRANK LUIZ DA CUNHA GARCIA - DEPUTADO ESTADUAL - PSDB - AM / WLADIMIR SEIXAS DA SILVA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000537,AM,724
4773,JORGE MAIA DA SILVA - DEPUTADO ESTADUAL - PSDB - AM / JORGE MAIA DA SILVA - PSDB - AM - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,24/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000541,AM,2500
4774,JORGE MAIA DA SILVA - DEPUTADO ESTADUAL - PSDB - AM / JORGE MAIA DA SILVA - PSDB - AM - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,28/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000541,AM,50
4775,JORGE MAIA DA SILVA - DEPUTADO ESTADUAL - PSDB - AM / JORGE MAIA DA SILVA - PSDB - AM - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,25/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000541,AM,40
4779,OSMAR RENATO RODRIGUES NETTO - DEPUTADO ESTADUAL - PSDB - AM / CELESTE ALBERTA MELGUEIRO LIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,24/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000549,AM,7735
4780,OSMAR RENATO RODRIGUES NETTO - DEPUTADO ESTADUAL - PSDB - AM / SALVADOR DE JESUS NETO - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,06/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000549,AM,1800
4781,OSMAR RENATO RODRIGUES NETTO - DEPUTADO ESTADUAL - PSDB - AM / SALVADOR DE JESUS NETO - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,18/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000549,AM,130
4782,OSMAR RENATO RODRIGUES NETTO - DEPUTADO ESTADUAL - PSDB - AM / SALVADOR DE JESUS NETO - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,21/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PSDB,40000000549,AM,200
4783,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / ALDEMIR DE CARVALHO CAETANO JUNIOR - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,724
4784,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / AYANA HELOISA ALMEIDA NEGREIROS - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,724
4785,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / BEATRIZ CALHEIRO DE ABREU - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,724
4786,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / DANNIELY SOUZA DA SILVA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,724
4787,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / DARLENE FREITAS GUILHERME - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,1500
4788,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / DHYENE VIEIRA DOS SANTOS - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,724
4789,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / ESTELA INHAMUNS VILARIM - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,1500
4790,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / JULES CESAR COSTA DA SILVA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,1500
4791,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / KEVEN TOME DE SOUZA E SILVA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,724
4792,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / LANDER JOFFRE DE AZEVEDO SIQUEIRA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,724
4793,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / LEANDRO PETRUS CALHEIRO DA COSTA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,17/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,1500
4794,YANN EVANOVICK LEITAO FURTADO - DEPUTADO ESTADUAL - PC DO B - AM / MOISES LEAL CORREA - NULL - NULL - DEPUTADO ESTADUAL,DEPUTADO ESTADUAL,,,19/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000555,AM,200
